/root/venv-cgym/lib/python3.10/site-packages/networkx/readwrite/json_graph/node_link.py:287: FutureWarning: 
The default value will be changed to `edges="edges" in NetworkX 3.6.

To make this warning go away, explicitly set the edges kwarg, e.g.:

  nx.node_link_graph(data, edges="links") to preserve current behavior, or
  nx.node_link_graph(data, edges="edges") for forward compatibility.
  warnings.warn(
Suite benchmark://linux-v0: 150 programs (seed 42, max-ic 120000)
Installing the benchmark://linux-v0 dataset. This may take a few moments ...
[88/150] 8729: Oz=5977 RndRed50=5798 (7s, total 24m)
[89/150] 8826: Oz=178 RndRed50=178 (3s, total 24m)
[90/150] 8834: Oz=21 RndRed50=21 (1s, total 24m)
[91/150] 8886: Oz=2238 RndRed50=2231 (6s, total 24m)
[92/150] 9018: Oz=0 RndRed50=0 (3s, total 24m)
[93/150] 9094: Oz=1142 RndRed50=1141 (4s, total 24m)
[94/150] 9229: Oz=962 RndRed50=960 (5s, total 24m)
[95/150] 9279: Oz=2072 RndRed50=2072 (6s, total 24m)
[96/150] 9288: Oz=86 RndRed50=85 (3s, total 25m)
[97/150] 9370: Oz=857 RndRed50=857 (2s, total 25m)
[98/150] 9448: Oz=10 RndRed50=10 (4s, total 25m)
[99/150] 9467: Oz=326 RndRed50=326 (5s, total 25m)
[100/150] 9506: Oz=1681 RndRed50=1679 (6s, total 25m)
[101/150] 9610: Oz=6349 RndRed50=6333 (11s, total 25m)
[102/150] 9679: Oz=100 RndRed50=100 (4s, total 25m)
[103/150] 9705: Oz=7281 RndRed50=7261 (8s, total 25m)
[104/150] 9790: Oz=921 RndRed50=921 (5s, total 25m)
[105/150] 9892: Oz=1397 RndRed50=1387 (5s, total 25m)
[106/150] 10142: Oz=241 RndRed50=240 (4s, total 25m)
[107/150] 10281: Oz=4 RndRed50=4 (4s, total 25m)
[108/150] 10303: Oz=1411 RndRed50=1411 (3s, total 26m)
[109/150] 10471: Oz=484 RndRed50=482 (4s, total 26m)
[110/150] 10492: Oz=2414 RndRed50=2414 (6s, total 26m)
[111/150] 10503: Oz=0 RndRed50=0 (3s, total 26m)
[112/150] 10634: Oz=498 RndRed50=484 (4s, total 26m)
[113/150] 10643: Oz=344 RndRed50=340 (3s, total 26m)
[114/150] 10660: Oz=1504 RndRed50=1504 (4s, total 26m)
[115/150] 10759: Oz=1014 RndRed50=1010 (4s, total 26m)
[116/150] 10783: Oz=759 RndRed50=754 (2s, total 26m)
[117/150] 10830: Oz=384 RndRed50=377 (4s, total 26m)
[118/150] 10838: Oz=1296 RndRed50=1296 (4s, total 26m)
[119/150] 10839: Oz=300 RndRed50=300 (3s, total 26m)
[120/150] 10920: Oz=460 RndRed50=459 (3s, total 26m)
[121/150] 11015: Oz=227 RndRed50=227 (3s, total 26m)
[122/150] 11055: Oz=185 RndRed50=185 (3s, total 26m)
[123/150] 11058: Oz=141 RndRed50=140 (3s, total 26m)
[124/150] 11157: Oz=179 RndRed50=179 (3s, total 26m)
[125/150] 11168: Oz=453 RndRed50=453 (1s, total 27m)
[126/150] 11354: Oz=197 RndRed50=197 (3s, total 27m)
[127/150] 11429: Oz=1540 RndRed50=1540 (5s, total 27m)
[128/150] 11438: Oz=1418 RndRed50=1362 (4s, total 27m)
[129/150] 11537: Oz=258 RndRed50=256 (4s, total 27m)
[130/150] 11538: Oz=1303 RndRed50=1303 (5s, total 27m)
[131/150] 11553: Oz=832 RndRed50=826 (4s, total 27m)
[132/150] 11581: Oz=511 RndRed50=511 (4s, total 27m)
[133/150] 11670: Oz=463 RndRed50=459 (2s, total 27m)
[134/150] 11829: Oz=876 RndRed50=876 (4s, total 27m)
[135/150] 11852: Oz=2110 RndRed50=2110 (7s, total 27m)
[136/150] 11877: Oz=12 RndRed50=12 (5s, total 27m)
[137/150] 11883: Oz=1047 RndRed50=1038 (5s, total 27m)
[138/150] 12258: Oz=108 RndRed50=108 (4s, total 27m)
[139/150] 12341: Oz=533 RndRed50=533 (5s, total 28m)
[140/150] 12453: Oz=389 RndRed50=389 (2s, total 28m)
[141/150] 12531: Oz=6589 RndRed50=6558 (11s, total 28m)
[142/150] 12760: Oz=525 RndRed50=525 (4s, total 28m)
[143/150] 12784: Oz=1397 RndRed50=1397 (5s, total 28m)
[144/150] 13025: Oz=1897 RndRed50=1889 (5s, total 28m)
[145/150] 13385: Oz=5803 RndRed50=5793 (6s, total 28m)
[146/150] 13411: Oz=499 RndRed50=498 (3s, total 28m)
[147/150] 13446: Oz=0 RndRed50=0 (3s, total 28m)
[148/150] 13672: Oz=185 RndRed50=185 (4s, total 28m)
[149/150] 13814: Oz=1973 RndRed50=1956 (6s, total 28m)
[150/150] 13914: Oz=196 RndRed50=196 (3s, total 28m)

Done: 150 measured/existing, 0 skipped, 0 failed
Aggregated 150 measured (0 skipped/failed) -> results/battery/linux-v0/_aggregate.json
  totals: O0=255140 O3=250862 Oz=252031 RndRed50=246983
